scenario,hosp_avoided,deaths_avoided,costs_saved,vaccination_costs,net_cost,ROI,cost_per_hosp_avoided,cost_per_death_avoided
high,106122.93814155197,7566.565489492656,1230919959.5038614,1040051452.6352777,-190868506.8685836,1.1835183311219477,-1798.560332112119,-25225.250099749217
low,34715.89036657646,2475.242983136902,402669612.36192036,584490085.5776182,181820473.21569782,0.6889246238693423,5237.384704692747,73455.60595642001
mid,65089.396029605705,4640.873936910887,754971904.5473965,779321806.1487259,24349901.601329386,0.9687550105627579,374.0993631321131,5246.8353875471685
