week,rsv_cases_65_baseline,flu_season,start_year,calendar_year,year_week,uptake_shape,season_week,season_cov,template_shape,vax_weekly,vax_cov,vax_weekly_lag2,vax_cov_lag2,scenario,inc_future,epi_time,cases_future,hosp_baseline,VE_used,hosp_with_vaccine,hosp_avoided,deaths_baseline,deaths_with_vaccine,deaths_avoided,costs_saved,vaccinated_weekly,vaccination_costs,net_cost
42,80724.96411944448,2026-2027,2026,2026,2026-42,0.0,3,0.268308065494239,0.0653645615896744,0.0175378390720046,0.1175378390720046,0.0,0.0,low,16.12327665693224,2026.7884615384614,38519.168987754056,3851.9168987754056,0.5,3851.9168987754056,0.0,274.6416748826864,274.6416748826864,0.0,0.0,41898.61659442094,6284792.489163142,6284792.489163142
43,64292.215837643445,2026-2027,2026,2026,2026-43,0.0,4,0.268308065494239,0.0621451931089787,0.0166740565428359,0.1342118956148406,0.0,0.0,low,13.058826983438493,2026.8076923076924,31198.073075340882,3119.8073075340885,0.5,3119.8073075340885,0.0,222.4422610271805,222.4422610271805,0.0,0.0,39835.00471715322,5975250.707572983,5975250.707572983
44,51554.70032329951,2026-2027,2026,2026,2026-44,0.0,5,0.268308065494239,0.0590228852080165,0.0158363161500514,0.150048211764892,0.0175378390720046,0.0175378390720046,low,9.618101238264197,2026.826923076923,22978.038200363935,2297.8038200363935,0.5,2277.654563228976,20.149256807417714,163.83341236859485,162.39677035822598,1.436642010368871,233711.22970923808,37833.608571434954,5675041.285715243,5441330.056006005
45,70726.19698527816,2026-2027,2026,2026,2026-45,0.0,6,0.268308065494239,0.0559966423322492,0.0150243507783385,0.1650725625432306,0.0166740565428359,0.0342118956148406,low,11.200609838715447,2026.8461538461538,26758.716129694592,2675.8716129694594,0.5,2630.0982928186463,45.773320150813106,190.78964600472247,187.52600827796948,3.2636377267529895,530924.7404292813,35893.79000783259,5384068.501174889,4853143.760745607
46,61784.98855322787,2026-2027,2026,2026,2026-46,0.0,7,0.268308065494239,0.0530654585004919,0.0142378905148318,0.1793104530580624,0.0158363161500514,0.050048211764892,low,10.210892869933446,2026.8653846153845,24394.24171287867,2439.424171287867,0.5,2378.3797625333614,61.04440875450564,173.93094341282492,169.57847706862867,4.352466344196245,708054.0971435109,34014.90419344428,5102235.6290166415,4394181.53187313
47,74891.45784655388,2026-2027,2026,2026,2026-47,0.0,8,0.268308065494239,0.0502283169702598,0.0134766625593218,0.1927871156173843,0.0150243507783385,0.0650725625432306,low,12.618323031546934,2026.8846153846155,30145.69107360992,3014.5691073609923,0.5,2916.4862389711725,98.08286838981985,214.93877735483875,207.94546883864462,6.9933085161941335,1137663.1904535205,32196.29939738471,4829444.909607707,3691781.719154186
48,78791.11519847276,2026-2027,2026,2026,2026-48,0.0,9,0.268308065494239,0.0474841898848168,0.0127403911295563,0.2055275067469407,0.0142378905148318,0.0793104530580624,low,12.879776591892188,2026.9038461538462,30770.314348870706,3077.0314348870706,0.5,2955.011056299674,122.02037858739686,219.39234130744813,210.69228831416675,8.700052993281389,1415314.3712352163,30437.31676454631,4565597.5146819465,3150283.1434467304
49,93357.77378230238,2026-2027,2026,2026,2026-49,0.0,10,0.268308065494239,0.0448320379004977,0.0120287973612469,0.2175563041081876,0.0134766625593218,0.0927871156173843,low,14.180175580858569,2026.923076923077,33877.020849869936,3387.7020849869937,0.5,3230.5345324685227,157.16755251847098,241.54315865957267,230.33711216500566,11.206046494567005,1822986.4416617448,28737.290076710655,4310593.511506598,2487607.0698448536
50,99881.3248097,2026-2027,2026,2026,2026-50,0.0,11,0.268308065494239,0.0422708097927226,0.0113415992023603,0.2288979033105479,0.0127403911295563,0.1055275067469406,low,14.899615652288901,2026.9423076923076,35595.792677559926,3559.579267755993,0.5,3371.762505158798,187.81676259719507,253.79800179100232,240.4066666178223,13.39133517318001,2178486.6293648654,27095.545500006054,4064331.825000908,1885845.1956360429
51,109526.88845336525,2026-2027,2026,2026,2026-51,0.0,12,0.268308065494239,0.0397994420389596,0.0106785113012233,0.2395764146117713,0.0120287973612469,0.1175563041081876,low,15.848209643544164,2026.9615384615386,37862.02261502239,3786.2022615022393,0.5,3563.656289268107,222.54597223413248,269.95622124510965,254.08869342481603,15.867527820293617,2581310.731943703,25511.401317585813,3826710.197637872,1245399.465694169
52,97597.25251858616,2026-2027,2026,2026,2026-52,0.0,13,0.268308065494239,0.0374168583766998,0.0100392448879242,0.2496156594996955,0.0113415992023603,0.1288979033105479,low,14.594916030320325,2026.9807692307693,34867.8527879925,3486.7852787992506,0.5,3262.065622933597,224.71965586565375,248.60779037838657,232.58527891516547,16.022511463221093,2606523.2883857177,23984.16764629132,3597625.146943698,991101.8585579805
1,88716.35546435432,2026-2027,2026,2027,2027-01,0.0,14,0.268308065494239,0.0280662610265842,0.0075304042016991,0.2571460637013947,0.0106785113012233,0.1395764146117713,low,16.240291610928306,2027.0,38798.72251046378,3879.8722510463776,0.5,3609.1029220699997,270.7693289763779,276.63489149960674,257.329038343591,19.305853156015758,3140653.446797007,17990.44438443142,2698566.657664713,-442086.78913229425
2,84828.87590899944,2026-2027,2026,2027,2027-02,0.0,15,0.268308065494239,0.0268748536342184,0.0072107399890379,0.2643568036904327,0.0100392448879242,0.1496156594996955,low,14.047670979993033,2027.0192307692307,33560.461925713535,3356.0461925713535,0.5,3104.987660364851,251.0585322065026,239.2860935303375,221.38562018401387,17.900473346323622,2912027.915063224,17226.753474151094,2584013.021122664,-328014.8939405596
3,68763.05622401096,2026-2027,2026,2027,2027-03,0.0,16,0.268308065494239,0.0253384153233142,0.006798501198088,0.268308065494239,0.0075304042016991,0.1571460637013947,low,11.506424420804434,2027.0384615384614,27489.319704703044,2748.931970470305,0.5,2532.9400511991416,215.99191927116317,195.99884949453275,180.5986256504988,15.400223844033945,2505290.2716262215,16241.898100781355,2436284.715117203,-69005.55650901841
4,60022.082962059045,2026-2027,2026,2027,2027-04,0.0,17,0.268308065494239,0.0209575647541747,0.0056230836566628,0.268308065494239,0.0072107399890379,0.1643568036904327,low,10.232756216394652,2027.0576923076924,24446.474143971696,2444.6474143971695,0.5,2243.75019680697,200.8972175901995,174.3033606465182,159.97938903233697,14.323971614181232,2330206.826828724,13433.777402197351,2015066.6103296026,-315140.21649912116
5,48451.11924660505,2026-2027,2026,2027,2027-05,0.0,18,0.268308065494239,0.0198429311910621,0.0053240184816091,0.268308065494239,0.006798501198088,0.1711553048885207,low,10.433546138120219,2027.076923076923,24926.169499360865,2492.6169499360867,0.5,2279.304642917784,213.31230701830282,177.72358853044298,162.514421040038,15.20916749040498,2474209.4491052944,12719.298437321884,1907894.7655982827,-566314.6835070117
6,48583.186685876695,2026-2027,2026,2027,2027-06,0.0,19,0.268308065494239,0.0184710928406065,0.0049559431876276,0.268308065494239,0.0056230836566628,0.1767783885451836,low,9.890830889265809,2027.0961538461538,23629.60051852248,2362.960051852248,0.5,2154.099916770706,208.860135081542,168.47905169706527,153.58732406575135,14.891727631313927,2422568.706810806,11839.95146891303,1775992.7203369546,-646575.9864738514
7,43047.953588625904,2026-2027,2026,2027,2027-07,0.0,20,0.268308065494239,0.0173930909715684,0.0046667065915468,0.268308065494239,0.0053240184816091,0.1821024070267927,low,8.453675421019154,2027.1153846153845,20196.17718150702,2019.617718150702,0.5,1835.7290942761015,183.88862387460063,143.99874330414505,130.88748442188603,13.111258882259023,2132924.1483214926,11148.953382175558,1672343.0073263336,-460581.14099515905
8,46424.20742004248,2026-2027,2026,2027,2027-08,0.0,21,0.268308065494239,0.0161640524794828,0.0043369456513174,0.268308065494239,0.0049559431876276,0.1870583502144203,low,7.719446572736096,2027.1346153846155,18442.074359576018,1844.2074359576018,0.5,1671.7202357459041,172.48720021169765,131.491990183777,119.19365280868297,12.298337375094036,2000679.035255481,10361.140975768973,1554171.146365346,-446507.8888901351
9,40645.207521865006,2026-2027,2026,2027,2027-09,0.0,22,0.268308065494239,0.0151195922316225,0.0040567085427283,0.268308065494239,0.0046667065915468,0.1917250568059672,low,7.960363678694064,2027.1538461538462,19017.635203310943,1901.7635203310945,0.5,1719.4556608475968,182.30785948349762,135.59573899960705,122.59718861843366,12.998550381173388,2114588.862149089,9691.643033628161,1453746.4550442242,-660842.407104865
10,32985.30510404069,2026-2027,2026,2027,2027-10,0.0,23,0.268308065494239,0.0139326717782131,0.0037382482119785,0.268308065494239,0.0043369456513174,0.1960620024572846,low,6.583884887972497,2027.173076923077,15729.170936646702,1572.9170936646703,0.5,1418.7224561230767,154.1946375415937,112.148988778291,101.15491112157537,10.994077656715632,1788503.6008449453,8930.828246593328,1339624.2369889992,-448879.3638559461
11,31108.524501525277,2026-2027,2026,2027,2027-11,0.0,24,0.268308065494239,0.0128832817616585,0.0034566884066878,0.268308065494239,0.0040567085427283,0.200118711000013,low,6.4020072339344205,2027.1923076923076,15294.65776416592,1529.4657764165922,0.5,1376.428416569031,153.03735984756122,109.05090985850303,98.13934610137191,10.91156375713112,1775080.3368718626,8258.170327801829,1238725.5491702743,-536354.7877015884
12,27001.663871025423,2026-2027,2026,2027,2027-12,0.0,25,0.268308065494239,0.0118212580992959,0.0031717388923302,0.268308065494239,0.0037382482119785,0.2038569592119915,low,5.9633299576822765,2027.2115384615386,14246.639765431224,1424.6639765431225,0.5,1279.4501434646502,145.21383307847236,101.57854152752464,91.22479522902957,10.353746298495068,1684335.249877201,7577.414255071433,1136612.138260715,-547723.111616486
13,28771.483090703416,2026-2027,2026,2027,2027-13,0.0,26,0.268308065494239,0.0107943674307706,0.002896215843584,0.268308065494239,0.0034566884066878,0.2073136476186794,low,5.70142084099704,2027.2307692307693,13620.928147396407,1362.0928147396407,0.5,1220.902599830206,141.19021490943464,97.11721769093639,87.0503553678937,10.066862323042685,1637665.3027345324,6919.178395171763,1037876.7592757645,-599788.5434587679
14,25397.34621966521,2026-2027,2026,2027,2027-14,0.0,27,0.268308065494239,0.0098747245543156,0.0026494682424568,0.268308065494239,0.0031717388923302,0.2104853865110096,low,4.3354674929193315,2027.25,10357.609594751491,1035.760959475149,0.5,926.7546865310786,109.00627294407047,73.84975641057814,66.0776091496659,7.772147260912234,1264363.7598782734,6329.6882594272365,949453.2389140854,-314910.5209641879
15,21840.778408156617,2026-2027,2026,2027,2027-15,0.0,28,0.268308065494239,0.0089773292096624,0.0024086898335494,0.268308065494239,0.002896215843584,0.2133816023545937,low,4.160010945981669,2027.2692307692307,9938.436710398992,993.8436710398992,0.5,887.8096935316664,106.03397750823274,70.86105374514482,63.300831148807816,7.560222596336999,1229888.1051179916,5754.458768632692,863168.8152949038,-366719.28982308775
16,23477.614230762567,2026-2027,2026,2027,2027-16,0.0,29,0.268308065494239,0.0081096888233366,0.0021758949199497,0.268308065494239,0.0026494682424568,0.2160310705970505,low,4.539340938774605,2027.2884615384614,10844.67161571102,1084.467161571102,0.5,967.3278606003271,117.13930097077491,77.32250862001958,68.97047646080333,8.35203215921625,1358698.7519600182,5198.302175451551,779745.3263177327,-578953.4256422855
