flu_season,region,age_class,population
2012-2013,South Carolina,5-9,315139.374
2012-2013,South Carolina,50-54,334238.73000000004
2012-2013,South Carolina,55-59,319914.21300000005
2012-2013,South Carolina,60-64,296040.018
2012-2013,South Carolina,65-69,253066.467
2012-2013,South Carolina,70-74,186218.721
2012-2013,South Carolina,75-79,124145.81400000001
2012-2013,South Carolina,80-84,85947.10200000001
2012-2013,South Carolina,85+,76397.424
2012-2013,South Carolina,total,4774839.0
2012-2013,South Dakota,0-5,58296.513000000006
2012-2013,South Dakota,10-14,55761.882000000005
2012-2013,South Dakota,15-19,56606.759000000005
2012-2013,South Dakota,20-24,61676.02099999999
2012-2013,South Dakota,25-29,55761.882000000005
2012-2013,South Dakota,30-34,54917.005000000005
2012-2013,South Dakota,35-39,50692.619999999995
2012-2013,South Dakota,40-44,45623.35800000001
2012-2013,South Dakota,45-49,49847.743
2012-2013,South Dakota,5-9,61676.02099999999
2012-2013,South Dakota,50-54,59141.39000000001
2012-2013,South Dakota,55-59,56606.759000000005
2012-2013,South Dakota,60-64,53227.251000000004
2012-2013,South Dakota,65-69,36329.710999999996
2012-2013,South Dakota,70-74,28725.818000000003
2012-2013,South Dakota,75-79,21966.802000000003
2012-2013,South Dakota,80-84,18587.294
2012-2013,South Dakota,85+,19432.171
2012-2013,South Dakota,total,844877.0
2012-2013,Tennessee,0-5,396254.658
2012-2013,Tennessee,10-14,422238.57
2012-2013,Tennessee,15-19,428734.548
2012-2013,Tennessee,20-24,461214.43799999997
2012-2013,Tennessee,25-29,422238.57
2012-2013,Tennessee,30-34,422238.57
2012-2013,Tennessee,35-39,402750.636
2012-2013,Tennessee,40-44,441726.504
2012-2013,Tennessee,45-49,435230.526
2012-2013,Tennessee,5-9,422238.57
2012-2013,Tennessee,50-54,461214.43799999997
2012-2013,Tennessee,55-59,435230.526
2012-2013,Tennessee,60-64,396254.658
2012-2013,Tennessee,65-69,324798.9
2012-2013,Tennessee,70-74,233855.208
2012-2013,Tennessee,75-79,168895.428
2012-2013,Tennessee,80-84,116927.604
2012-2013,Tennessee,85+,103935.648
2012-2013,Tennessee,total,6495978.0
2012-2013,Texas,0-5,1930718.089
2012-2013,Texas,10-14,1957166.2820000004
2012-2013,Texas,15-19,1904269.8960000002
2012-2013,Texas,20-24,1957166.2820000004
2012-2013,Texas,25-29,1904269.8960000002
2012-2013,Texas,30-34,1904269.8960000002
2012-2013,Texas,35-39,1772028.931
2012-2013,Texas,40-44,1798477.124
2012-2013,Texas,45-49,1692684.352
2012-2013,Texas,5-9,2010062.668
2012-2013,Texas,50-54,1745580.7380000001
2012-2013,Texas,55-59,1560443.387
2012-2013,Texas,60-64,1295961.457
2012-2013,Texas,65-69,1005031.334
2012-2013,Texas,70-74,740549.404
2012-2013,Texas,75-79,502515.667
2012-2013,Texas,80-84,370274.702
2012-2013,Texas,85+,343826.509
2012-2013,Texas,total,26448193.0
2012-2013,Utah,0-5,252375.86399999997
2012-2013,Utah,10-14,249474.99199999997
2012-2013,Utah,15-19,226268.016
2012-2013,Utah,20-24,243673.24800000002
2012-2013,Utah,25-29,211763.656
2012-2013,Utah,30-34,229168.888
2012-2013,Utah,35-39,205961.91199999998
2012-2013,Utah,40-44,168250.576
2012-2013,Utah,45-49,147944.47199999998
2012-2013,Utah,5-9,255276.73600000003
2012-2013,Utah,50-54,156647.08800000002
2012-2013,Utah,55-59,145043.6
2012-2013,Utah,60-64,124737.49599999998
2012-2013,Utah,65-69,95728.776
2012-2013,Utah,70-74,66720.056
2012-2013,Utah,75-79,49314.824
2012-2013,Utah,80-84,34810.464
2012-2013,Utah,85+,34810.464
2012-2013,Utah,total,2900872.0
2012-2013,Vermont,0-5,30078.24
2012-2013,Vermont,10-14,34464.65
2012-2013,Vermont,15-19,43864.100000000006
2012-2013,Vermont,20-24,45743.99
2012-2013,Vermont,25-29,35091.28
2012-2013,Vermont,30-34,35091.28
2012-2013,Vermont,35-39,35091.28
2012-2013,Vermont,40-44,37597.799999999996
2012-2013,Vermont,45-49,43864.100000000006
2012-2013,Vermont,5-9,35717.91
2012-2013,Vermont,50-54,51383.659999999996
2012-2013,Vermont,55-59,48877.14
2012-2013,Vermont,60-64,46370.62000000001
2012-2013,Vermont,65-69,35717.91
2012-2013,Vermont,70-74,24438.57
2012-2013,Vermont,75-79,17545.64
2012-2013,Vermont,80-84,12532.6
2012-2013,Vermont,85+,13159.230000000001
2012-2013,Vermont,total,626630.0
2012-2013,Virginia,0-5,512145.11
2012-2013,Virginia,10-14,520405.515
2012-2013,Virginia,15-19,553447.135
2012-2013,Virginia,20-24,594749.16
2012-2013,Virginia,25-29,578228.3500000001
2012-2013,Virginia,30-34,569967.9450000001
2012-2013,Virginia,35-39,528665.92
2012-2013,Virginia,40-44,569967.9450000001
2012-2013,Virginia,45-49,586488.755
2012-2013,Virginia,5-9,520405.515
2012-2013,Virginia,50-54,603009.565
2012-2013,Virginia,55-59,553447.135
2012-2013,Virginia,60-64,470843.085
2012-2013,Virginia,65-69,379978.63
2012-2013,Virginia,70-74,272593.365
2012-2013,Virginia,75-79,181728.91000000003
2012-2013,Virginia,80-84,140426.885
2012-2013,Virginia,85+,132166.48
2012-2013,Virginia,total,8260405.0
2012-2013,Washington,0-5,439198.578
2012-2013,Washington,10-14,446169.984
2012-2013,Washington,15-19,439198.578
2012-2013,Washington,20-24,494969.82599999994
2012-2013,Washington,25-29,494969.82599999994
2012-2013,Washington,30-34,494969.82599999994
2012-2013,Washington,35-39,446169.984
2012-2013,Washington,40-44,467084.20200000005
2012-2013,Washington,45-49,453141.39
2012-2013,Washington,5-9,446169.984
2012-2013,Washington,50-54,487998.42000000004
2012-2013,Washington,55-59,474055.608
2012-2013,Washington,60-64,425255.766
2012-2013,Washington,65-69,327656.082
2012-2013,Washington,70-74,230056.39800000002
2012-2013,Washington,75-79,153370.93200000003
2012-2013,Washington,80-84,118513.902
2012-2013,Washington,85+,125485.30800000002
2012-2013,Washington,total,6971406.0
2012-2013,West Virginia,0-5,101986.72
2012-2013,West Virginia,10-14,111258.23999999999
2012-2013,West Virginia,15-19,116821.152
2012-2013,West Virginia,20-24,126092.672
2012-2013,West Virginia,25-29,101986.72
2012-2013,West Virginia,30-34,111258.23999999999
2012-2013,West Virginia,35-39,114966.848
2012-2013,West Virginia,40-44,118675.456
2012-2013,West Virginia,45-49,120529.76000000001
2012-2013,West Virginia,5-9,101986.72
2012-2013,West Virginia,50-54,133509.888
2012-2013,West Virginia,55-59,142781.408
2012-2013,West Virginia,60-64,129801.28000000001
2012-2013,West Virginia,65-69,105695.32800000001
2012-2013,West Virginia,70-74,77880.76800000001
2012-2013,West Virginia,75-79,57483.424
2012-2013,West Virginia,80-84,38940.384000000005
2012-2013,West Virginia,85+,38940.384000000005
2012-2013,West Virginia,total,1854304.0
2012-2013,Wisconsin,0-5,338820.06700000004
2012-2013,Wisconsin,10-14,373276.34500000003
2012-2013,Wisconsin,15-19,384761.771
2012-2013,Wisconsin,20-24,396247.19700000004
2012-2013,Wisconsin,25-29,361790.919
2012-2013,Wisconsin,30-34,373276.34500000003
2012-2013,Wisconsin,35-39,338820.06700000004
2012-2013,Wisconsin,40-44,356048.206
2012-2013,Wisconsin,45-49,390504.48400000005
2012-2013,Wisconsin,5-9,361790.919
2012-2013,Wisconsin,50-54,442188.901
2012-2013,Wisconsin,55-59,413475.33600000007
2012-2013,Wisconsin,60-64,356048.206
2012-2013,Wisconsin,65-69,269907.511
2012-2013,Wisconsin,70-74,195252.24200000003
2012-2013,Wisconsin,75-79,143567.825
2012-2013,Wisconsin,80-84,114854.26000000001
2012-2013,Wisconsin,85+,126339.68600000002
2012-2013,Wisconsin,total,5742713.0
2012-2013,Wyoming,0-5,38455.428
2012-2013,Wyoming,10-14,38455.428
2012-2013,Wyoming,15-19,35542.138
2012-2013,Wyoming,20-24,44864.666
2012-2013,Wyoming,25-29,40203.402
2012-2013,Wyoming,30-34,41368.71799999999
2012-2013,Wyoming,35-39,34376.822
2012-2013,Wyoming,40-44,36124.796
2012-2013,Wyoming,45-49,33211.506
2012-2013,Wyoming,5-9,41368.71799999999
2012-2013,Wyoming,50-54,41368.71799999999
2012-2013,Wyoming,55-59,41951.376000000004
2012-2013,Wyoming,60-64,38455.428
2012-2013,Wyoming,65-69,28550.242000000002
2012-2013,Wyoming,70-74,18062.398
2012-2013,Wyoming,75-79,12235.818000000001
2012-2013,Wyoming,80-84,8739.869999999999
2012-2013,Wyoming,85+,10487.844000000001
2012-2013,Wyoming,total,582658.0
2013-2014,Alabama,0-5,290962.62
2013-2014,Alabama,10-14,320058.88200000004
2013-2014,Alabama,15-19,329757.636
2013-2014,Alabama,20-24,344305.767
2013-2014,Alabama,25-29,305510.751
2013-2014,Alabama,30-34,310360.128
2013-2014,Alabama,35-39,290962.62
2013-2014,Alabama,40-44,320058.88200000004
2013-2014,Alabama,45-49,305510.751
2013-2014,Alabama,5-9,305510.751
2013-2014,Alabama,50-54,344305.767
2013-2014,Alabama,55-59,334607.01300000004
2013-2014,Alabama,60-64,295811.997
2013-2014,Alabama,65-69,247318.22699999998
2013-2014,Alabama,70-74,184276.326
2013-2014,Alabama,75-79,135782.55599999998
2013-2014,Alabama,80-84,92138.163
2013-2014,Alabama,85+,82439.409
2013-2014,Alabama,total,4849377.0
2013-2014,Alaska,0-5,53044.704000000005
2013-2014,Alaska,10-14,50834.508
2013-2014,Alaska,15-19,50834.508
2013-2014,Alaska,20-24,63358.952
2013-2014,Alaska,25-29,60412.02399999999
2013-2014,Alaska,30-34,53781.435999999994
2013-2014,Alaska,35-39,46414.116
2013-2014,Alaska,40-44,47150.848
2013-2014,Alaska,45-49,45677.384
2013-2014,Alaska,5-9,53044.704000000005
2013-2014,Alaska,50-54,50834.508
2013-2014,Alaska,55-59,50834.508
2013-2014,Alaska,60-64,41256.992
2013-2014,Alaska,65-69,28732.548
2013-2014,Alaska,70-74,17681.568
2013-2014,Alaska,75-79,11050.98
2013-2014,Alaska,80-84,6630.588000000001
2013-2014,Alaska,85+,5893.856
2013-2014,Alaska,total,736732.0
2013-2014,Arizona,0-5,430814.976
2013-2014,Arizona,10-14,457740.912
2013-2014,Arizona,15-19,457740.912
2013-2014,Arizona,20-24,491398.332
2013-2014,Arizona,25-29,451009.428
2013-2014,Arizona,30-34,444277.944
2013-2014,Arizona,35-39,417352.008
2013-2014,Arizona,40-44,424083.492
2013-2014,Arizona,45-49,403889.04
2013-2014,Arizona,5-9,457740.912
2013-2014,Arizona,50-54,430814.976
2013-2014,Arizona,55-59,410620.524
2013-2014,Arizona,60-64,383694.588
2013-2014,Arizona,65-69,350037.168
2013-2014,Arizona,70-74,275990.844
2013-2014,Arizona,75-79,195213.036
2013-2014,Arizona,80-84,134629.68
2013-2014,Arizona,85+,121166.71200000001
2013-2014,Arizona,total,6731484.0
2013-2014,Arkansas,0-5,189847.616
2013-2014,Arkansas,10-14,195780.35400000002
2013-2014,Arkansas,15-19,204679.461
2013-2014,Arkansas,20-24,207645.83000000002
2013-2014,Arkansas,25-29,189847.616
2013-2014,Arkansas,30-34,186881.247
2013-2014,Arkansas,35-39,189847.616
2013-2014,Arkansas,40-44,186881.247
2013-2014,Arkansas,45-49,180948.509
2013-2014,Arkansas,5-9,198746.723
2013-2014,Arkansas,50-54,198746.723
2013-2014,Arkansas,55-59,192813.98500000002
2013-2014,Arkansas,60-64,177982.13999999998
2013-2014,Arkansas,65-69,154251.18800000002
2013-2014,Arkansas,70-74,115688.391
2013-2014,Arkansas,75-79,83058.332
2013-2014,Arkansas,80-84,59327.380000000005
2013-2014,Arkansas,85+,56361.011
2013-2014,Arkansas,total,2966369.0
2013-2014,California,0-5,2522162.5
2013-2014,California,10-14,2522162.5
2013-2014,California,15-19,2638570.0
2013-2014,California,20-24,2910187.5
2013-2014,California,25-29,2910187.5
2013-2014,California,30-34,2793780.0000000005
2013-2014,California,35-39,2560965.0
2013-2014,California,40-44,2599767.5
2013-2014,California,45-49,2560965.0
2013-2014,California,5-9,2560965.0
2013-2014,California,50-54,2638570.0
2013-2014,California,55-59,2405755.0
2013-2014,California,60-64,2095335.0000000002
2013-2014,California,65-69,1668507.4999999998
2013-2014,California,70-74,1164075.0
2013-2014,California,75-79,853655.0000000001
2013-2014,California,80-84,620840.0
2013-2014,California,85+,659642.5
2013-2014,California,total,38802500.0
2013-2014,Colorado,0-5,332063.692
2013-2014,Colorado,10-14,358843.022
2013-2014,Colorado,15-19,337419.558
2013-2014,Colorado,20-24,385622.3520000001
2013-2014,Colorado,25-29,396334.08400000003
2013-2014,Colorado,30-34,401689.95
2013-2014,Colorado,35-39,374910.62000000005
2013-2014,Colorado,40-44,353487.156
2013-2014,Colorado,45-49,342775.424
2013-2014,Colorado,5-9,353487.156
2013-2014,Colorado,50-54,369554.754
2013-2014,Colorado,55-59,353487.156
2013-2014,Colorado,60-64,321351.95999999996
2013-2014,Colorado,65-69,246369.836
2013-2014,Colorado,70-74,166031.846
2013-2014,Colorado,75-79,112473.186
2013-2014,Colorado,80-84,74982.124
2013-2014,Colorado,85+,80337.98999999999
2013-2014,Colorado,total,5355866.0
2013-2014,Connecticut,0-5,190623.881
2013-2014,Connecticut,10-14,233784.005
2013-2014,Connecticut,15-19,251767.39
2013-2014,Connecticut,20-24,244574.03600000002
2013-2014,Connecticut,25-29,219397.297
2013-2014,Connecticut,30-34,219397.297
2013-2014,Connecticut,35-39,212203.943
2013-2014,Connecticut,40-44,230187.328
2013-2014,Connecticut,45-49,262557.421
2013-2014,Connecticut,5-9,208607.26599999997
2013-2014,Connecticut,50-54,287734.16000000003
2013-2014,Connecticut,55-59,266154.09800000006
2013-2014,Connecticut,60-64,219397.297
2013-2014,Connecticut,65-69,179833.85
2013-2014,Connecticut,70-74,125883.695
2013-2014,Connecticut,75-79,93513.60200000001
2013-2014,Connecticut,80-84,71933.54000000001
2013-2014,Connecticut,85+,86320.248
2013-2014,Connecticut,total,3596677.0
2013-2014,Delaware,0-5,56136.84
2013-2014,Delaware,10-14,57072.454
2013-2014,Delaware,15-19,60814.91
2013-2014,Delaware,20-24,63621.75200000001
2013-2014,Delaware,25-29,62686.138000000006
2013-2014,Delaware,30-34,58943.682
2013-2014,Delaware,35-39,55201.226
2013-2014,Delaware,40-44,57072.454
2013-2014,Delaware,45-49,60814.91
2013-2014,Delaware,5-9,57072.454
2013-2014,Delaware,50-54,67364.20800000001
2013-2014,Delaware,55-59,69235.43600000002
2013-2014,Delaware,60-64,56136.84
2013-2014,Delaware,65-69,52394.384
2013-2014,Delaware,70-74,39295.788
2013-2014,Delaware,75-79,27132.805999999997
2013-2014,Delaware,80-84,17776.666
2013-2014,Delaware,85+,16841.052000000003
2013-2014,Delaware,total,935614.0
2013-2014,District of Columbia,0-5,42828.045
2013-2014,District of Columbia,10-14,25696.827
2013-2014,District of Columbia,15-19,37556.901
2013-2014,District of Columbia,20-24,58641.477000000006
2013-2014,District of Columbia,25-29,77749.37400000001
2013-2014,District of Columbia,30-34,72478.23
2013-2014,District of Columbia,35-39,52711.44
2013-2014,District of Columbia,40-44,39533.58
2013-2014,District of Columbia,45-49,38215.793999999994
2013-2014,District of Columbia,5-9,30967.971
2013-2014,District of Columbia,50-54,38874.687000000005
2013-2014,District of Columbia,55-59,36239.115
2013-2014,District of Columbia,60-64,32944.65
2013-2014,District of Columbia,65-69,22402.362
2013-2014,District of Columbia,70-74,19766.79
2013-2014,District of Columbia,75-79,13836.753
2013-2014,District of Columbia,80-84,8565.609
2013-2014,District of Columbia,85+,9883.395
2013-2014,District of Columbia,total,658893.0
2013-2014,Florida,0-5,1074238.0380000002
2013-2014,Florida,10-14,1153811.226
2013-2014,Florida,15-19,1193597.82
2013-2014,Florida,20-24,1312957.602
2013-2014,Florida,25-29,1273171.008
2013-2014,Florida,30-34,1233384.414
2013-2014,Florida,35-39,1173704.523
2013-2014,Florida,40-44,1253277.711
2013-2014,Florida,45-49,1312957.602
2013-2014,Florida,5-9,1114024.632
2013-2014,Florida,50-54,1432317.384
2013-2014,Florida,55-59,1332850.899
2013-2014,Florida,60-64,1233384.414
2013-2014,Florida,65-69,1153811.226
2013-2014,Florida,70-74,934984.959
2013-2014,Florida,75-79,696265.395
2013-2014,Florida,80-84,497332.42500000005
2013-2014,Florida,85+,517225.72200000007
2013-2014,Florida,total,19893297.0
2013-2014,Georgia,0-5,656327.295
2013-2014,Georgia,10-14,716911.3529999999
2013-2014,Georgia,15-19,716911.3529999999
2013-2014,Georgia,20-24,727008.6960000001
2013-2014,Georgia,25-29,686619.324
2013-2014,Georgia,30-34,686619.324
2013-2014,Georgia,35-39,676521.981
2013-2014,Georgia,40-44,716911.3529999999
2013-2014,Georgia,45-49,686619.324
2013-2014,Georgia,5-9,706814.01
2013-2014,Georgia,50-54,696716.667
2013-2014,Georgia,55-59,626035.266
2013-2014,Georgia,60-64,555353.865
2013-2014,Georgia,65-69,444283.09200000006
2013-2014,Georgia,70-74,323114.976
2013-2014,Georgia,75-79,212044.203
2013-2014,Georgia,80-84,141362.802
2013-2014,Georgia,85+,131265.459
2013-2014,Georgia,total,10097343.0
2013-2014,Hawaii,0-5,90851.904
2013-2014,Hawaii,10-14,85173.66
2013-2014,Hawaii,15-19,79495.416
2013-2014,Hawaii,20-24,103627.953
2013-2014,Hawaii,25-29,109306.197
2013-2014,Hawaii,30-34,100788.83099999999
2013-2014,Hawaii,35-39,88012.782
2013-2014,Hawaii,40-44,88012.782
2013-2014,Hawaii,45-49,86593.221
2013-2014,Hawaii,5-9,85173.66
2013-2014,Hawaii,50-54,92271.465
2013-2014,Hawaii,55-59,92271.465
2013-2014,Hawaii,60-64,88012.782
2013-2014,Hawaii,65-69,78075.855
2013-2014,Hawaii,70-74,48265.074
2013-2014,Hawaii,75-79,34069.464
2013-2014,Hawaii,80-84,28391.22
2013-2014,Hawaii,85+,38328.147000000004
2013-2014,Hawaii,total,1419561.0
2013-2014,Idaho,0-5,111143.55200000001
2013-2014,Idaho,10-14,124219.264
2013-2014,Idaho,15-19,119315.87199999999
2013-2014,Idaho,20-24,111143.55200000001
2013-2014,Idaho,25-29,104605.696
2013-2014,Idaho,30-34,106240.16
2013-2014,Idaho,35-39,101336.768
2013-2014,Idaho,40-44,101336.768
2013-2014,Idaho,45-49,93164.448
2013-2014,Idaho,5-9,122584.79999999999
2013-2014,Idaho,50-54,102971.232
2013-2014,Idaho,55-59,99702.304
2013-2014,Idaho,60-64,99702.304
2013-2014,Idaho,65-69,80088.736
2013-2014,Idaho,70-74,60475.168000000005
2013-2014,Idaho,75-79,40861.600000000006
2013-2014,Idaho,80-84,26151.424
2013-2014,Idaho,85+,26151.424
2013-2014,Idaho,total,1634464.0
2013-2014,Illinois,0-5,785715.38
2013-2014,Illinois,10-14,850118.28
2013-2014,Illinois,15-19,875879.4400000001
2013-2014,Illinois,20-24,901640.6000000001
2013-2014,Illinois,25-29,888760.02
2013-2014,Illinois,30-34,888760.02
2013-2014,Illinois,35-39,837237.7000000001
2013-2014,Illinois,40-44,850118.28
2013-2014,Illinois,45-49,850118.28
2013-2014,Illinois,5-9,824357.12
2013-2014,Illinois,50-54,914521.1799999999
2013-2014,Illinois,55-59,875879.4400000001
2013-2014,Illinois,60-64,747073.6399999999
2013-2014,Illinois,65-69,579626.1
2013-2014,Illinois,70-74,425059.14
2013-2014,Illinois,75-79,309133.92
2013-2014,Illinois,80-84,231850.44000000003
2013-2014,Illinois,85+,244731.02
2013-2014,Illinois,total,12880580.0
2013-2014,Indiana,0-5,415601.865
2013-2014,Indiana,10-14,448586.14
2013-2014,Indiana,15-19,461779.85000000003
2013-2014,Indiana,20-24,474973.56000000006
2013-2014,Indiana,25-29,422198.72000000003
2013-2014,Indiana,30-34,422198.72000000003
2013-2014,Indiana,35-39,402408.15499999997
2013-2014,Indiana,40-44,428795.575
2013-2014,Indiana,45-49,422198.72000000003
2013-2014,Indiana,5-9,441989.28500000003
2013-2014,Indiana,50-54,468376.70499999996
2013-2014,Indiana,55-59,448586.14
2013-2014,Indiana,60-64,389214.445
2013-2014,Indiana,65-69,316649.04
2013-2014,Indiana,70-74,224293.07
2013-2014,Indiana,75-79,158324.52
2013-2014,Indiana,80-84,125340.245
2013-2014,Indiana,85+,125340.245
2013-2014,Indiana,total,6596855.0
2013-2014,Iowa,0-5,192641.812
2013-2014,Iowa,10-14,208177.442
2013-2014,Iowa,15-19,217498.82
2013-2014,Iowa,20-24,223713.07200000001
2013-2014,Iowa,25-29,192641.812
2013-2014,Iowa,30-34,198856.064
2013-2014,Iowa,35-39,186427.56
2013-2014,Iowa,40-44,180213.308
2013-2014,Iowa,45-49,189534.686
2013-2014,Iowa,5-9,201963.19
2013-2014,Iowa,50-54,220605.94599999997
2013-2014,Iowa,55-59,214391.69400000002
2013-2014,Iowa,60-64,192641.812
2013-2014,Iowa,65-69,149142.048
2013-2014,Iowa,70-74,108749.41
2013-2014,Iowa,75-79,90106.654
2013-2014,Iowa,80-84,68356.77200000001
2013-2014,Iowa,85+,74571.024
2013-2014,Iowa,total,3107126.0
2013-2014,Kansas,0-5,200377.44900000002
2013-2014,Kansas,10-14,200377.44900000002
2013-2014,Kansas,15-19,203281.47000000003
2013-2014,Kansas,20-24,214897.55400000003
2013-2014,Kansas,25-29,191665.386
2013-2014,Kansas,30-34,194569.407
2013-2014,Kansas,35-39,174241.25999999998
2013-2014,Kansas,40-44,177145.281
2013-2014,Kansas,45-49,168433.218
2013-2014,Kansas,5-9,206185.49099999998
2013-2014,Kansas,50-54,197473.428
2013-2014,Kansas,55-59,188761.36500000002
2013-2014,Kansas,60-64,171337.239
2013-2014,Kansas,65-69,130680.94499999999
2013-2014,Kansas,70-74,95832.693
2013-2014,Kansas,75-79,72600.52500000001
2013-2014,Kansas,80-84,55176.399
2013-2014,Kansas,85+,60984.441000000006
2013-2014,Kansas,total,2904021.0
2013-2014,Kentucky,0-5,273634.334
2013-2014,Kentucky,10-14,282461.248
2013-2014,Kentucky,15-19,291288.162
2013-2014,Kentucky,20-24,308941.99000000005
2013-2014,Kentucky,25-29,278047.791
2013-2014,Kentucky,30-34,286874.705
2013-2014,Kentucky,35-39,278047.791
2013-2014,Kentucky,40-44,282461.248
2013-2014,Kentucky,45-49,291288.162
2013-2014,Kentucky,5-9,286874.705
2013-2014,Kentucky,50-54,322182.361
2013-2014,Kentucky,55-59,308941.99000000005
2013-2014,Kentucky,60-64,269220.877
2013-2014,Kentucky,65-69,220672.85
2013-2014,Kentucky,70-74,163297.909
2013-2014,Kentucky,75-79,114749.88200000001
2013-2014,Kentucky,80-84,75028.769
2013-2014,Kentucky,85+,79442.22600000001
2013-2014,Kentucky,total,4413457.0
2013-2014,Louisiana,0-5,306878.61600000004
2013-2014,Louisiana,10-14,311528.292
2013-2014,Louisiana,15-19,311528.292
2013-2014,Louisiana,20-24,348725.7
2013-2014,Louisiana,25-29,334776.672
2013-2014,Louisiana,30-34,325477.32
2013-2014,Louisiana,35-39,292929.588
2013-2014,Louisiana,40-44,288279.912
2013-2014,Louisiana,45-49,288279.912
2013-2014,Louisiana,5-9,316177.96800000005
2013-2014,Louisiana,50-54,316177.96800000005
2013-2014,Louisiana,55-59,311528.292
2013-2014,Louisiana,60-64,274330.884
2013-2014,Louisiana,65-69,213885.096
2013-2014,Louisiana,70-74,158088.98400000003
2013-2014,Louisiana,75-79,111592.224
2013-2014,Louisiana,80-84,74394.816
2013-2014,Louisiana,85+,74394.816
2013-2014,Louisiana,total,4649676.0
2013-2014,Maine,0-5,62514.183
2013-2014,Maine,10-14,75815.073
2013-2014,Maine,15-19,81135.429
2013-2014,Maine,20-24,78475.251
2013-2014,Maine,25-29,77145.162
2013-2014,Maine,30-34,75815.073
2013-2014,Maine,35-39,74484.984
2013-2014,Maine,40-44,82465.518
2013-2014,Maine,45-49,91776.141
2013-2014,Maine,5-9,71824.80600000001
2013-2014,Maine,50-54,109067.29799999998
2013-2014,Maine,55-59,107737.209
2013-2014,Maine,60-64,98426.58600000001
2013-2014,Maine,65-69,82465.518
2013-2014,Maine,70-74,57193.827
2013-2014,Maine,75-79,39902.67
2013-2014,Maine,80-84,31922.136000000002
2013-2014,Maine,85+,31922.136000000002
2013-2014,Maine,total,1330089.0
2013-2014,Maryland,0-5,364560.827
2013-2014,Maryland,10-14,382490.048
2013-2014,Maryland,15-19,388466.455
2013-2014,Maryland,20-24,406395.67600000004
2013-2014,Maryland,25-29,418348.49000000005
2013-2014,Maryland,30-34,406395.67600000004
2013-2014,Maryland,35-39,376513.641
2013-2014,Maryland,40-44,394442.862
2013-2014,Maryland,45-49,424324.89699999994
2013-2014,Maryland,5-9,370537.234
2013-2014,Maryland,50-54,454206.932
2013-2014,Maryland,55-59,412372.08300000004
2013-2014,Maryland,60-64,352608.01300000004
2013-2014,Maryland,65-69,280891.129
2013-2014,Maryland,70-74,197221.431
2013-2014,Maryland,75-79,137457.361
2013-2014,Maryland,80-84,95622.512
2013-2014,Maryland,85+,107575.32600000002
2013-2014,Maryland,total,5976407.0
2013-2014,Massachusetts,0-5,364252.03200000006
2013-2014,Massachusetts,10-14,404724.48
2013-2014,Massachusetts,15-19,458687.744
2013-2014,Massachusetts,20-24,492414.784
2013-2014,Massachusetts,25-29,478923.96799999994
2013-2014,Massachusetts,30-34,445196.928
2013-2014,Massachusetts,35-39,397979.07200000004
2013-2014,Massachusetts,40-44,438451.52
2013-2014,Massachusetts,45-49,472178.56000000006
2013-2014,Massachusetts,5-9,370997.44
2013-2014,Massachusetts,50-54,512651.008
2013-2014,Massachusetts,55-59,472178.56000000006
2013-2014,Massachusetts,60-64,411469.888
2013-2014,Massachusetts,65-69,323779.58400000003
2013-2014,Massachusetts,70-74,242834.68800000002
2013-2014,Massachusetts,75-79,168635.2
2013-2014,Massachusetts,80-84,134908.16
2013-2014,Massachusetts,85+,148398.97600000002
2013-2014,Massachusetts,total,6745408.0
2013-2014,Michigan,0-5,564862.9890000001
2013-2014,Michigan,10-14,644142.005
2013-2014,Michigan,15-19,683781.513
2013-2014,Michigan,20-24,733330.898
2013-2014,Michigan,25-29,604502.497
2013-2014,Michigan,30-34,594592.62
2013-2014,Michigan,35-39,574772.8659999999
2013-2014,Michigan,40-44,614412.374
2013-2014,Michigan,45-49,663961.7590000001
2013-2014,Michigan,5-9,604502.497
2013-2014,Michigan,50-54,733330.898
2013-2014,Michigan,55-59,723421.021
2013-2014,Michigan,60-64,644142.005
2013-2014,Michigan,65-69,495493.85000000003
2013-2014,Michigan,70-74,376575.326
2013-2014,Michigan,75-79,257656.80200000003
2013-2014,Michigan,80-84,198197.54
2013-2014,Michigan,85+,208107.41700000002
2013-2014,Michigan,total,9909877.0
2013-2014,Minnesota,0-5,349259.072
2013-2014,Minnesota,10-14,360173.418
2013-2014,Minnesota,15-19,354716.245
2013-2014,Minnesota,20-24,360173.418
2013-2014,Minnesota,25-29,365630.591
2013-2014,Minnesota,30-34,382002.11000000004
2013-2014,Minnesota,35-39,338344.726
2013-2014,Minnesota,40-44,332887.553
2013-2014,Minnesota,45-49,354716.245
2013-2014,Minnesota,5-9,365630.591
2013-2014,Minnesota,50-54,409287.975
2013-2014,Minnesota,55-59,387459.28299999994
2013-2014,Minnesota,60-64,327430.38
2013-2014,Minnesota,65-69,251029.95799999998
2013-2014,Minnesota,70-74,180086.709
2013-2014,Minnesota,75-79,130972.152
2013-2014,Minnesota,80-84,98229.11400000002
2013-2014,Minnesota,85+,114600.633
2013-2014,Minnesota,total,5457173.0
2013-2014,Mississippi,0-5,191621.056
2013-2014,Mississippi,10-14,212579.60899999997
2013-2014,Mississippi,15-19,224555.925
2013-2014,Mississippi,20-24,209585.53000000003
2013-2014,Mississippi,25-29,194615.135
