flu_season,region,age_class,population
2010-2011,Connecticut,total,3580709.0
2010-2011,Delaware,0-5,55335.235
2010-2011,Delaware,10-14,56242.37
2010-2011,Delaware,15-19,61685.18000000001
2010-2011,Delaware,20-24,65313.72000000001
2010-2011,Delaware,25-29,58963.775
2010-2011,Delaware,30-34,55335.235
2010-2011,Delaware,35-39,52613.829999999994
2010-2011,Delaware,40-44,60778.045000000006
2010-2011,Delaware,45-49,67127.99
2010-2011,Delaware,5-9,58056.64
2010-2011,Delaware,50-54,66220.855
2010-2011,Delaware,55-59,57149.505
2010-2011,Delaware,60-64,58963.775
2010-2011,Delaware,65-69,43542.48
2010-2011,Delaware,70-74,31749.725000000002
2010-2011,Delaware,75-79,24492.645000000004
2010-2011,Delaware,80-84,17235.565
2010-2011,Delaware,85+,16328.430000000002
2010-2011,Delaware,total,907135.0
2010-2011,District of Columbia,0-5,36461.764
2010-2011,District of Columbia,10-14,25955.832000000002
2010-2011,District of Columbia,15-19,40787.736000000004
2010-2011,District of Columbia,20-24,59945.611999999994
2010-2011,District of Columbia,25-29,73541.524
2010-2011,District of Columbia,30-34,59945.611999999994
2010-2011,District of Columbia,35-39,43877.71599999999
2010-2011,District of Columbia,40-44,38933.748
2010-2011,District of Columbia,45-49,37697.756
2010-2011,District of Columbia,5-9,26573.827999999998
2010-2011,District of Columbia,50-54,37697.756
2010-2011,District of Columbia,55-59,35225.772000000004
2010-2011,District of Columbia,60-64,31517.796
2010-2011,District of Columbia,65-69,22247.856000000003
2010-2011,District of Columbia,70-74,15449.900000000001
2010-2011,District of Columbia,75-79,12359.92
2010-2011,District of Columbia,80-84,9269.94
2010-2011,District of Columbia,85+,10505.932
2010-2011,District of Columbia,total,617996.0
2010-2011,Florida,0-5,1067222.352
2010-2011,Florida,10-14,1124394.9780000001
2010-2011,Florida,15-19,1219682.688
2010-2011,Florida,20-24,1276855.314
2010-2011,Florida,25-29,1200625.146
2010-2011,Florida,30-34,1143452.52
2010-2011,Florida,35-39,1124394.9780000001
2010-2011,Florida,40-44,1295912.8560000001
2010-2011,Florida,45-49,1372143.0240000002
2010-2011,Florida,5-9,1086279.894
2010-2011,Florida,50-54,1372143.0240000002
2010-2011,Florida,55-59,1257797.772
2010-2011,Florida,60-64,1181567.604
2010-2011,Florida,65-69,990992.1840000001
2010-2011,Florida,70-74,781359.222
2010-2011,Florida,75-79,609841.344
2010-2011,Florida,80-84,514553.6340000001
2010-2011,Florida,85+,457381.00800000003
2010-2011,Florida,total,19057542.0
2010-2011,Georgia,0-5,677249.4900000001
2010-2011,Georgia,10-14,706695.1200000001
2010-2011,Georgia,15-19,726325.5400000002
2010-2011,Georgia,20-24,706695.1200000001
2010-2011,Georgia,25-29,657619.0700000001
2010-2011,Georgia,30-34,667434.28
2010-2011,Georgia,35-39,677249.4900000001
2010-2011,Georgia,40-44,716510.33
2010-2011,Georgia,45-49,716510.33
2010-2011,Georgia,5-9,696879.9099999999
2010-2011,Georgia,50-54,677249.4900000001
2010-2011,Georgia,55-59,588912.6
2010-2011,Georgia,60-64,530021.3400000001
2010-2011,Georgia,65-69,372977.98
2010-2011,Georgia,70-74,265010.67000000004
2010-2011,Georgia,75-79,186488.99
2010-2011,Georgia,80-84,127597.73000000001
2010-2011,Georgia,85+,117782.52
2010-2011,Georgia,total,9815210.0
2010-2011,Hawaii,0-5,87987.84
2010-2011,Hawaii,10-14,83863.41
2010-2011,Hawaii,15-19,83863.41
2010-2011,Hawaii,20-24,98986.32
2010-2011,Hawaii,25-29,103110.75
2010-2011,Hawaii,30-34,89362.65000000001
2010-2011,Hawaii,35-39,83863.41
2010-2011,Hawaii,40-44,92112.27
2010-2011,Hawaii,45-49,92112.27
2010-2011,Hawaii,5-9,81113.79000000001
2010-2011,Hawaii,50-54,96236.70000000001
2010-2011,Hawaii,55-59,92112.27
2010-2011,Hawaii,60-64,86613.03
2010-2011,Hawaii,65-69,61866.45
2010-2011,Hawaii,70-74,45368.73
2010-2011,Hawaii,75-79,34370.25
2010-2011,Hawaii,80-84,30245.820000000003
2010-2011,Hawaii,85+,32995.44
2010-2011,Hawaii,total,1374810.0
2010-2011,Idaho,0-5,118873.875
2010-2011,Idaho,10-14,118873.875
2010-2011,Idaho,15-19,115703.905
2010-2011,Idaho,20-24,110948.95000000001
2010-2011,Idaho,25-29,103024.02500000001
2010-2011,Idaho,30-34,103024.02500000001
2010-2011,Idaho,35-39,96684.08499999999
2010-2011,Idaho,40-44,98269.06999999999
2010-2011,Idaho,45-49,99854.05500000001
2010-2011,Idaho,5-9,122043.845
2010-2011,Idaho,50-54,104609.01000000001
2010-2011,Idaho,55-59,101439.04000000001
2010-2011,Idaho,60-64,85589.19000000002
2010-2011,Idaho,65-69,66569.37000000001
2010-2011,Idaho,70-74,50719.520000000004
2010-2011,Idaho,75-79,36454.655
2010-2011,Idaho,80-84,26944.745000000003
2010-2011,Idaho,85+,23774.774999999998
2010-2011,Idaho,total,1584985.0
2010-2011,Illinois,0-5,823632.576
2010-2011,Illinois,10-14,862240.353
2010-2011,Illinois,15-19,913717.389
2010-2011,Illinois,20-24,887978.871
2010-2011,Illinois,25-29,900848.1300000001
2010-2011,Illinois,30-34,875109.6120000001
2010-2011,Illinois,35-39,836501.8350000001
2010-2011,Illinois,40-44,875109.6120000001
2010-2011,Illinois,45-49,913717.389
2010-2011,Illinois,5-9,862240.353
2010-2011,Illinois,50-54,939455.9069999999
2010-2011,Illinois,55-59,823632.576
2010-2011,Illinois,60-64,720678.504
2010-2011,Illinois,65-69,501901.101
2010-2011,Illinois,70-74,373208.511
2010-2011,Illinois,75-79,295992.957
2010-2011,Illinois,80-84,231646.66200000004
2010-2011,Illinois,85+,244515.921
2010-2011,Illinois,total,12869259.0
2010-2011,Indiana,0-5,430116.852
2010-2011,Indiana,10-14,456184.54000000004
2010-2011,Indiana,15-19,475735.306
2010-2011,Indiana,20-24,462701.46199999994
2010-2011,Indiana,25-29,417083.00800000003
2010-2011,Indiana,30-34,417083.00800000003
