year_week,HHS region,week,flu_season,Vaccination Rate
2025-41,United States,41,2025-2026,0.3294702568783414
2025-42,United States,42,2025-2026,0.3294702568783414
2025-43,United States,43,2025-2026,0.3390068033641935
2025-44,United States,44,2025-2026,0.3485433498500456
2025-45,United States,45,2025-2026,0.3528385578302256
2025-46,United States,46,2025-2026,0.3528940246446734
2025-47,United States,47,2025-2026,0.36297480114747693
2025-48,United States,48,2025-2026,0.36624734319989566
2025-49,United States,49,2025-2026,0.3695753520667623
2025-50,United States,50,2025-2026,0.3717668144477768
2025-51,United States,51,2025-2026,0.372212146303299
2025-52,United States,52,2025-2026,0.3757684117877167
