region,year,week_number,temperature_mean_c,dewpoint_mean_c,relative_humidity_mean
Alabama,2002,1,-3.03,-9.73,62.0
Alabama,2002,2,2.84,-1.33,75.1
Alabama,2002,3,1.34,-4.03,69.3
Alabama,2002,4,5.36,0.48,73.5
Alabama,2002,5,9.29,5.66,79.0
Alabama,2002,6,3.04,-3.05,66.4
Alabama,2002,7,3.77,-4.2,57.8
Alabama,2002,8,5.58,-1.21,64.3
Alabama,2002,9,1.55,-5.43,63.0
Alabama,2002,10,6.57,-3.41,50.1
Alabama,2002,11,9.01,4.7,76.7
Alabama,2002,12,5.64,0.05,71.1
Alabama,2002,13,7.78,3.21,75.2
Alabama,2002,14,7.52,-0.29,60.4
Alabama,2002,15,16.09,11.94,78.4
Alabama,2002,16,22.18,17.5,76.5
Alabama,2002,17,13.11,7.06,69.5
Alabama,2002,18,14.64,8.91,70.8
Alabama,2002,19,19.63,15.08,76.5
Alabama,2002,20,13.85,8.73,73.7
Alabama,2002,21,15.43,8.77,66.5
Alabama,2002,22,23.65,18.91,76.4
Alabama,2002,23,23.64,18.8,76.0
Alabama,2002,24,22.82,17.37,72.9
Alabama,2002,25,25.31,15.34,57.1
Alabama,2002,26,25.91,21.31,77.5
Alabama,2002,27,28.47,18.55,57.9
Alabama,2002,28,25.74,17.26,62.1
Alabama,2002,29,26.53,20.29,71.2
Alabama,2002,30,27.18,21.29,72.2
Alabama,2002,31,28.43,20.5,65.4
Alabama,2002,32,25.54,15.23,56.1
Alabama,2002,33,25.15,21.04,80.1
Alabama,2002,34,26.13,20.7,73.7
Alabama,2002,35,24.24,17.67,69.0
Alabama,2002,36,26.24,16.11,57.7
Alabama,2002,37,24.0,15.31,62.7
Alabama,2002,38,21.62,18.83,85.3
Alabama,2002,39,17.69,12.9,76.3
Alabama,2002,40,20.85,17.37,81.6
Alabama,2002,41,15.11,11.25,79.6
Alabama,2002,42,10.11,5.28,73.5
Alabama,2002,43,10.86,7.5,81.1
Alabama,2002,44,6.49,3.17,80.7
Alabama,2002,45,10.06,6.63,81.0
Alabama,2002,46,6.74,2.86,77.4
Alabama,2002,47,5.64,1.16,74.2
Alabama,2002,48,1.76,-4.08,66.9
Alabama,2002,49,-1.9,-6.54,72.9
Alabama,2002,50,1.52,-1.04,84.0
Alabama,2002,51,7.17,2.68,75.5
Alabama,2002,52,0.21,-3.0,80.2
Alabama,2003,1,3.9,1.78,86.5
Alabama,2003,2,0.86,-6.22,61.4
Alabama,2003,3,-4.77,-11.68,59.8
Alabama,2003,4,-5.55,-13.86,52.9
Alabama,2003,5,0.02,-4.28,74.6
Alabama,2003,6,-0.26,-6.31,65.5
Alabama,2003,7,-0.51,-4.97,74.7
Alabama,2003,8,0.53,-1.1,89.2
Alabama,2003,9,-0.63,-3.68,80.3
Alabama,2003,10,3.6,-1.89,70.0
Alabama,2003,11,6.75,0.49,67.6
Alabama,2003,12,13.72,9.14,76.2
Alabama,2003,13,12.0,4.56,63.1
Alabama,2003,14,12.94,4.48,58.6
Alabama,2003,15,9.58,3.82,71.9
Alabama,2003,16,18.1,11.37,68.2
Alabama,2003,17,12.37,5.94,68.2
Alabama,2003,18,17.6,13.04,76.2
Alabama,2003,19,20.64,17.87,85.2
Alabama,2003,20,17.65,12.95,76.5
Alabama,2003,21,16.65,12.12,76.3
Alabama,2003,22,16.57,11.67,74.7
Alabama,2003,23,17.04,12.57,77.0
Alabama,2003,24,21.84,18.33,81.6
Alabama,2003,25,21.57,16.03,73.2
Alabama,2003,26,23.82,16.0,64.6
Alabama,2003,27,26.57,19.11,66.2
Alabama,2003,28,25.43,18.99,69.8
Alabama,2003,29,25.0,18.89,71.2
Alabama,2003,30,23.28,17.56,72.9
Alabama,2003,31,24.12,19.11,75.8
Alabama,2003,32,22.71,19.09,81.5
Alabama,2003,33,24.71,20.85,80.6
Alabama,2003,34,25.12,18.84,70.4
Alabama,2003,35,24.94,21.04,80.9
Alabama,2003,36,20.85,17.65,83.6
Alabama,2003,37,21.93,17.29,76.8
Alabama,2003,38,18.53,12.6,71.6
Alabama,2003,39,17.15,11.71,72.6
Alabama,2003,40,10.65,4.42,68.3
Alabama,2003,41,17.8,13.37,77.2
Alabama,2003,42,13.28,8.19,73.7
Alabama,2003,43,13.96,7.9,69.3
Alabama,2003,44,13.69,8.96,75.2
Alabama,2003,45,11.3,6.03,71.7
Alabama,2003,46,9.27,4.44,73.9
Alabama,2003,47,13.68,8.89,74.7
Alabama,2003,48,4.17,-1.02,70.8
Alabama,2003,49,3.55,-2.18,69.7
Alabama,2003,50,2.77,-1.37,75.3
Alabama,2003,51,0.09,-4.15,74.4
Alabama,2003,52,3.56,-2.68,65.7
Alabama,2004,1,9.58,5.55,77.8
Alabama,2004,2,-2.72,-9.65,60.4
Alabama,2004,3,1.87,-2.69,73.0
Alabama,2004,4,-3.4,-11.11,56.9
Alabama,2004,5,-6.3,-10.39,74.3
Alabama,2004,6,-0.69,-3.97,79.5
Alabama,2004,7,0.51,-5.06,68.0
Alabama,2004,8,3.38,-4.33,58.7
Alabama,2004,9,5.62,-2.85,57.3
Alabama,2004,10,11.77,7.0,75.2
Alabama,2004,11,4.32,-4.26,55.9
Alabama,2004,12,7.28,1.18,67.6
Alabama,2004,13,12.97,4.18,57.6
Alabama,2004,14,9.06,2.72,68.4
Alabama,2004,15,12.62,1.92,50.5
Alabama,2004,16,13.16,5.56,63.7
Alabama,2004,17,17.93,13.43,77.5
Alabama,2004,18,14.97,7.94,66.2
Alabama,2004,19,18.42,10.76,63.7
Alabama,2004,20,20.89,16.47,78.1
Alabama,2004,21,23.98,19.42,77.0
Alabama,2004,22,22.2,18.3,80.3
Alabama,2004,23,20.78,14.19,68.3
Alabama,2004,24,25.1,20.49,77.1
Alabama,2004,25,24.66,19.8,75.9
Alabama,2004,26,22.7,14.29,62.2
Alabama,2004,27,24.9,17.03,64.8
Alabama,2004,28,25.0,19.29,72.9
Alabama,2004,29,24.94,17.57,66.2
Alabama,2004,30,23.75,18.48,74.2
Alabama,2004,31,21.78,17.27,77.3
Alabama,2004,32,23.27,15.96,66.1
Alabama,2004,33,19.95,12.45,64.2
Alabama,2004,34,22.48,15.48,67.7
Alabama,2004,35,24.37,20.89,81.9
Alabama,2004,36,22.46,17.97,77.8
Alabama,2004,37,22.34,16.29,70.5
Alabama,2004,38,22.08,14.85,66.6
Alabama,2004,39,21.55,11.17,55.8
Alabama,2004,40,16.95,8.71,61.9
Alabama,2004,41,16.35,5.64,53.0
Alabama,2004,42,12.37,6.43,71.4
Alabama,2004,43,15.56,13.32,87.8
Alabama,2004,44,18.0,13.38,77.0
Alabama,2004,45,13.1,8.59,75.7
Alabama,2004,46,7.91,0.4,61.7
Alabama,2004,47,11.58,8.21,80.9
Alabama,2004,48,8.08,4.45,79.4
Alabama,2004,49,4.98,0.66,75.1
Alabama,2004,50,8.38,5.88,84.9
Alabama,2004,51,-0.33,-6.47,64.4
Alabama,2004,52,-6.26,-9.99,76.4
Alabama,2004,53,6.31,3.48,82.7
Alabama,2005,1,7.22,5.52,89.2
Alabama,2005,2,6.58,2.97,78.2
Alabama,2005,3,-3.93,-10.71,61.1
Alabama,2005,4,0.27,-6.25,64.5
Alabama,2005,5,3.08,-0.71,77.9
Alabama,2005,6,4.9,1.55,80.4
Alabama,2005,7,5.54,-0.45,67.3
Alabama,2005,8,4.23,0.36,77.3
Alabama,2005,9,2.83,-3.12,67.1
Alabama,2005,10,3.24,-3.44,63.1
Alabama,2005,11,5.36,-3.81,54.5
Alabama,2005,12,6.98,3.24,78.9
Alabama,2005,13,11.5,4.61,66.6
Alabama,2005,14,16.85,8.04,59.5
Alabama,2005,15,15.69,7.31,61.3
Alabama,2005,16,15.57,8.72,66.6
Alabama,2005,17,10.17,4.35,70.6
Alabama,2005,18,13.54,4.04,55.8
Alabama,2005,19,20.42,14.23,70.0
Alabama,2005,20,17.42,11.2,69.1
Alabama,2005,21,18.62,9.7,59.6
Alabama,2005,22,21.06,15.34,72.3
Alabama,2005,23,25.44,20.07,74.5
Alabama,2005,24,22.17,15.45,67.8
Alabama,2005,25,25.19,15.19,57.0
Alabama,2005,26,26.46,18.46,63.8
Alabama,2005,27,25.98,15.18,54.6
Alabama,2005,28,23.3,20.49,85.9
Alabama,2005,29,26.82,23.07,81.0
Alabama,2005,30,25.35,18.25,67.3
Alabama,2005,31,27.29,18.59,61.9
Alabama,2005,32,27.79,18.76,61.0
Alabama,2005,33,25.7,21.74,80.6
Alabama,2005,34,24.25,18.05,70.7
Alabama,2005,35,22.54,17.56,76.5
Alabama,2005,36,23.38,16.88,69.6
Alabama,2005,37,22.12,17.46,77.1
Alabama,2005,38,23.51,18.98,77.1
Alabama,2005,39,18.98,13.86,74.4
Alabama,2005,40,18.5,13.11,72.6
Alabama,2005,41,16.11,10.83,73.7
Alabama,2005,42,14.91,9.3,72.3
Alabama,2005,43,7.58,2.15,71.0
Alabama,2005,44,14.88,6.68,60.0
Alabama,2005,45,13.17,4.87,60.3
Alabama,2005,46,5.9,-1.28,62.1
Alabama,2005,47,4.04,-4.05,57.5
Alabama,2005,48,2.94,-1.95,71.3
Alabama,2005,49,-3.25,-7.82,71.5
Alabama,2005,50,1.47,-3.17,72.7
Alabama,2005,51,0.29,-4.6,71.5
Alabama,2005,52,4.67,1.57,81.3
Alabama,2006,1,6.24,1.87,74.7
Alabama,2006,2,5.87,1.52,75.2
Alabama,2006,3,6.48,1.4,71.3
Alabama,2006,4,5.0,-1.43,65.7
Alabama,2006,5,4.67,0.02,73.2
Alabama,2006,6,-0.53,-6.46,66.4
Alabama,2006,7,2.24,-4.96,60.2
Alabama,2006,8,2.53,-6.19,55.6
Alabama,2006,9,7.42,-1.21,56.3
Alabama,2006,10,10.4,5.57,74.0
Alabama,2006,11,8.24,-1.1,54.3
Alabama,2006,12,2.69,-3.16,67.2
Alabama,2006,13,11.56,5.89,70.6
Alabama,2006,14,11.53,4.16,63.9
Alabama,2006,15,19.88,9.77,54.7
Alabama,2006,16,17.65,11.56,70.3
Alabama,2006,17,15.09,7.19,62.0
Alabama,2006,18,16.73,10.21,67.2
Alabama,2006,19,14.31,9.75,75.4
Alabama,2006,20,14.29,9.12,73.6
Alabama,2006,21,21.07,13.2,63.5
Alabama,2006,22,22.86,18.13,76.6
Alabama,2006,23,21.15,14.78,69.7
Alabama,2006,24,22.24,15.27,67.1
Alabama,2006,25,24.62,19.85,76.5
Alabama,2006,26,24.03,16.33,65.1
Alabama,2006,27,23.71,15.82,63.7
Alabama,2006,28,25.58,21.54,80.3
Alabama,2006,29,26.17,20.41,72.9
Alabama,2006,30,25.35,19.81,73.3
Alabama,2006,31,28.01,20.61,66.5
Alabama,2006,32,25.14,21.19,80.8
Alabama,2006,33,24.93,20.51,78.1
Alabama,2006,34,24.25,18.69,72.9
Alabama,2006,35,21.47,18.45,83.6
Alabama,2006,36,20.12,14.69,73.4
Alabama,2006,37,20.06,16.32,80.6
Alabama,2006,38,16.52,12.51,78.8
Alabama,2006,39,15.78,10.12,71.4
Alabama,2006,40,17.53,11.61,69.9
Alabama,2006,41,11.85,4.68,64.7
Alabama,2006,42,11.5,7.84,79.6
Alabama,2006,43,7.37,1.78,70.1
Alabama,2006,44,7.66,0.37,62.7
Alabama,2006,45,11.63,7.6,77.6
Alabama,2006,46,6.08,2.82,80.3
Alabama,2006,47,6.61,0.05,65.6
Alabama,2006,48,9.15,4.31,72.5
Alabama,2006,49,-1.41,-10.77,51.5
Alabama,2006,50,10.32,4.85,70.3
Alabama,2006,51,7.9,4.24,78.6
Alabama,2006,52,6.23,1.89,75.2
Alabama,2007,1,7.56,4.11,79.5
Alabama,2007,2,6.46,1.07,70.8
Alabama,2007,3,1.4,-3.65,70.2
Alabama,2007,4,0.31,-5.11,68.1
Alabama,2007,5,-5.82,-13.4,57.0
Alabama,2007,6,-6.7,-19.05,39.8
Alabama,2007,7,-3.44,-9.68,64.4
Alabama,2007,8,5.18,-1.54,65.4
Alabama,2007,9,4.04,-3.04,61.9
Alabama,2007,10,6.58,-2.97,53.1
Alabama,2007,11,9.36,0.87,59.0
Alabama,2007,12,16.54,9.89,67.3
Alabama,2007,13,19.6,13.79,71.3
Alabama,2007,14,7.04,-1.29,57.1
Alabama,2007,15,6.88,0.26,66.0
Alabama,2007,16,13.6,4.19,56.2
Alabama,2007,17,18.75,12.18,67.9
Alabama,2007,18,20.21,14.31,72.0
Alabama,2007,19,21.55,13.05,60.9
Alabama,2007,20,17.51,7.67,56.4
Alabama,2007,21,23.26,11.45,50.5
Alabama,2007,22,24.76,14.93,57.2
Alabama,2007,23,22.94,14.2,60.4
Alabama,2007,24,25.45,12.06,46.2
Alabama,2007,25,24.0,16.44,65.7
Alabama,2007,26,24.46,19.93,77.5
Alabama,2007,27,24.37,16.85,65.7
Alabama,2007,28,24.62,17.1,65.3
Alabama,2007,29,24.25,15.85,62.1
Alabama,2007,30,24.0,15.89,63.4
Alabama,2007,31,27.11,18.81,62.6
Alabama,2007,32,30.14,19.43,55.0
Alabama,2007,33,27.71,16.3,52.3
Alabama,2007,34,28.27,19.56,61.9
Alabama,2007,35,25.56,15.84,57.2
Alabama,2007,36,26.2,17.05,61.1
Alabama,2007,37,20.5,9.58,53.7
Alabama,2007,38,23.95,12.1,51.2
Alabama,2007,39,22.05,15.16,68.7
Alabama,2007,40,23.15,15.84,65.3
Alabama,2007,41,17.05,8.72,60.3
Alabama,2007,42,19.0,12.24,67.5
Alabama,2007,43,12.41,8.55,79.2
Alabama,2007,44,9.62,1.61,60.8
Alabama,2007,45,7.16,-1.25,56.4
Alabama,2007,46,9.96,3.96,68.1
Alabama,2007,47,7.87,3.92,76.5
Alabama,2007,48,5.18,-0.82,67.8
Alabama,2007,49,2.0,-1.72,77.1
Alabama,2007,50,4.96,2.72,85.8
Alabama,2007,51,4.9,1.01,77.2
Alabama,2007,52,2.77,-1.75,73.7
Alabama,2008,1,-0.2,-5.91,67.3
Alabama,2008,2,8.71,4.31,74.6
Alabama,2008,3,-3.33,-9.74,62.9
Alabama,2008,4,-3.83,-11.5,57.7
Alabama,2008,5,1.57,-4.8,65.2
Alabama,2008,6,7.56,2.56,72.7
Alabama,2008,7,-0.56,-5.49,71.0
Alabama,2008,8,-1.14,-6.39,69.4
Alabama,2008,9,2.78,-3.16,66.5
Alabama,2008,10,2.6,-1.46,76.0
Alabama,2008,11,7.02,1.42,70.0
Alabama,2008,12,7.66,1.78,69.0
Alabama,2008,13,8.74,1.84,65.0
Alabama,2008,14,10.56,5.76,74.4
Alabama,2008,15,14.29,8.21,68.8
Alabama,2008,16,12.04,3.66,60.2
Alabama,2008,17,18.63,10.04,60.1
Alabama,2008,18,14.13,6.11,61.0
Alabama,2008,19,16.48,10.62,71.8
Alabama,2008,20,15.47,9.38,69.8
Alabama,2008,21,16.18,8.79,64.4
Alabama,2008,22,21.68,14.47,66.1
Alabama,2008,23,27.31,18.12,59.2
Alabama,2008,24,25.85,16.19,58.4
Alabama,2008,25,22.4,13.01,58.2
Alabama,2008,26,24.44,16.19,63.7
Alabama,2008,27,22.77,15.8,67.8
Alabama,2008,28,25.24,18.62,69.0
Alabama,2008,29,26.73,16.55,56.8
Alabama,2008,30,25.91,16.8,60.0
Alabama,2008,31,26.7,19.4,66.8
Alabama,2008,32,24.06,17.81,69.7
Alabama,2008,33,21.9,13.51,61.7
Alabama,2008,34,25.74,16.18,58.0
Alabama,2008,35,24.68,17.74,67.6
Alabama,2008,36,24.67,17.31,66.5
Alabama,2008,37,23.05,17.68,73.2
Alabama,2008,38,20.14,12.75,65.1
Alabama,2008,39,21.53,10.35,52.5
Alabama,2008,40,16.21,8.16,62.3
Alabama,2008,41,19.0,11.23,63.9
Alabama,2008,42,16.65,9.47,65.0
Alabama,2008,43,11.39,2.93,59.2
Alabama,2008,44,9.32,0.58,56.8
Alabama,2008,45,12.32,4.14,60.0
Alabama,2008,46,7.26,3.22,76.8
Alabama,2008,47,0.22,-7.27,59.1
Alabama,2008,48,4.15,-1.77,67.4
Alabama,2008,49,-0.83,-6.23,67.9
Alabama,2008,50,3.04,-2.86,68.0
Alabama,2008,51,1.06,-2.31,79.4
Alabama,2008,52,2.94,-1.7,72.2
Alabama,2009,1,4.17,-1.99,66.5
Alabama,2009,2,0.43,-3.86,74.6
Alabama,2009,3,-5.13,-12.46,58.1
Alabama,2009,4,-2.07,-8.45,62.8
Alabama,2009,5,-3.04,-6.72,76.7
Alabama,2009,6,0.72,-5.11,66.1
Alabama,2009,7,8.18,2.08,67.2
Alabama,2009,8,0.83,-6.43,60.0
Alabama,2009,9,3.37,-3.1,64.2
Alabama,2009,10,8.18,-1.18,53.5
Alabama,2009,11,8.19,1.44,63.9
Alabama,2009,12,11.23,1.78,56.4
Alabama,2009,13,12.17,6.3,70.5
Alabama,2009,14,11.18,3.13,60.9
Alabama,2009,15,8.59,1.14,63.5
Alabama,2009,16,12.44,6.44,70.1
Alabama,2009,17,16.72,7.12,56.3
Alabama,2009,18,18.86,13.62,74.0
Alabama,2009,19,17.27,12.84,77.2
Alabama,2009,20,17.63,11.27,68.9
Alabama,2009,21,20.07,10.84,58.4
Alabama,2009,22,21.61,17.22,77.8
Alabama,2009,23,20.51,13.78,67.9
Alabama,2009,24,22.88,18.91,79.3
Alabama,2009,25,25.36,21.5,80.6
Alabama,2009,26,27.56,21.09,69.9
Alabama,2009,27,21.68,14.9,68.3
Alabama,2009,28,24.23,18.4,71.7
Alabama,2009,29,22.26,16.03,69.8
Alabama,2009,30,21.58,17.01,77.5
Alabama,2009,31,23.06,18.9,79.1
Alabama,2009,32,23.73,18.74,75.1
Alabama,2009,33,25.16,19.51,72.6
Alabama,2009,34,23.52,18.47,74.4
Alabama,2009,35,22.53,16.24,69.8
Alabama,2009,36,20.59,13.21,64.6
Alabama,2009,37,21.09,16.4,76.8
Alabama,2009,38,21.44,14.64,66.7
Alabama,2009,39,21.24,19.39,89.9
Alabama,2009,40,14.42,7.63,65.9
Alabama,2009,41,13.12,9.26,79.1
Alabama,2009,42,8.86,4.79,77.0
Alabama,2009,43,12.36,6.68,70.0
Alabama,2009,44,12.53,8.25,77.1
Alabama,2009,45,10.53,2.41,59.5
Alabama,2009,46,11.96,5.03,64.5
Alabama,2009,47,9.55,5.68,77.8
Alabama,2009,48,8.06,3.22,72.3
Alabama,2009,49,2.11,-2.6,72.3
Alabama,2009,50,0.75,-5.05,67.8
Alabama,2009,51,2.32,-1.89,75.3
Alabama,2009,52,3.73,-0.52,74.8
Alabama,2009,53,-3.46,-8.81,67.3
Alabama,2010,1,-8.22,-12.83,70.0
Alabama,2010,2,0.97,-3.7,72.6
Alabama,2010,3,4.99,3.84,92.5
Alabama,2010,4,-2.89,-8.73,65.0
Alabama,2010,5,-0.49,-5.03,72.8
Alabama,2010,6,-4.44,-8.12,76.1
Alabama,2010,7,-0.66,-5.95,70.4
Alabama,2010,8,0.53,-4.5,70.1
Alabama,2010,9,2.43,-4.87,61.8
Alabama,2010,10,10.68,6.71,78.3
Alabama,2010,11,10.95,3.14,61.7
Alabama,2010,12,9.42,4.05,72.0
Alabama,2010,13,15.26,5.54,55.9
Alabama,2010,14,16.88,7.29,56.4
Alabama,2010,15,17.73,6.98,53.1
Alabama,2010,16,15.28,8.25,66.9
Alabama,2010,17,15.53,10.08,73.4
Alabama,2010,18,18.21,9.58,60.0
Alabama,2010,19,18.96,14.03,74.3
Alabama,2010,20,18.0,14.55,81.3
Alabama,2010,21,24.75,19.02,72.1
Alabama,2010,22,25.06,19.86,74.1
Alabama,2010,23,25.04,19.15,71.7
Alabama,2010,24,26.16,20.95,74.8
Alabama,2010,25,27.64,21.05,68.8
Alabama,2010,26,24.07,15.14,60.0
Alabama,2010,27,27.34,19.03,63.6
Alabama,2010,28,27.04,21.9,75.0
Alabama,2010,29,27.78,22.52,74.6
Alabama,2010,30,26.04,20.74,74.1
Alabama,2010,31,27.69,19.16,62.1
Alabama,2010,32,29.23,21.77,66.4
Alabama,2010,33,26.07,17.45,62.4
Alabama,2010,34,24.37,14.81,58.0
Alabama,2010,35,24.3,13.97,55.6
Alabama,2010,36,22.22,11.79,56.7
Alabama,2010,37,22.84,13.48,59.1
Alabama,2010,38,24.22,14.45,57.1
Alabama,2010,39,15.87,6.09,56.5
Alabama,2010,40,16.21,3.04,46.5
Alabama,2010,41,17.24,5.48,49.7
Alabama,2010,42,15.71,2.43,44.5
Alabama,2010,43,13.43,4.76,59.7
Alabama,2010,44,7.18,-2.0,54.4
Alabama,2010,45,12.26,1.66,52.8
Alabama,2010,46,6.78,3.35,80.0
Alabama,2010,47,7.49,2.21,70.9
Alabama,2010,48,2.41,-1.55,75.8
Alabama,2010,49,-2.43,-8.74,63.5
Alabama,2010,50,-4.73,-9.05,72.7
Alabama,2010,51,-0.03,-3.96,75.4
Alabama,2010,52,3.07,-2.01,70.5
Alabama,2011,1,-2.6,-8.98,63.0
Alabama,2011,2,-2.71,-8.59,64.9
Alabama,2011,3,-2.65,-6.36,76.4
Alabama,2011,4,0.8,-3.04,76.4
Alabama,2011,5,-0.36,-4.74,73.8
Alabama,2011,6,-2.02,-9.09,60.7
Alabama,2011,7,9.6,0.4,54.9
Alabama,2011,8,6.1,2.17,77.1
Alabama,2011,9,7.75,2.25,70.6
Alabama,2011,10,6.8,0.66,67.8
Alabama,2011,11,10.72,4.23,67.4
Alabama,2011,12,11.16,3.56,61.4
Alabama,2011,13,7.06,-2.93,51.8
Alabama,2011,14,16.91,9.21,63.7
Alabama,2011,15,14.05,7.44,68.4
Alabama,2011,16,16.2,11.11,74.1
Alabama,2011,17,16.58,12.25,77.7
Alabama,2011,18,12.81,7.65,73.2
Alabama,2011,19,21.06,15.97,74.0
Alabama,2011,20,16.42,12.04,76.8
Alabama,2011,21,20.54,16.42,78.5
Alabama,2011,22,26.61,17.48,59.5
Alabama,2011,23,27.08,18.21,61.3
Alabama,2011,24,21.77,16.45,73.8
Alabama,2011,25,23.17,18.22,75.2
Alabama,2011,26,25.09,18.96,70.8
Alabama,2011,27,26.14,20.02,71.5
Alabama,2011,28,27.29,21.07,70.6
Alabama,2011,29,29.45,23.42,71.7
Alabama,2011,30,28.58,22.43,71.8
Alabama,2011,31,27.35,21.2,71.1
Alabama,2011,32,23.85,18.09,71.9
Alabama,2011,33,23.81,18.31,73.4
Alabama,2011,34,25.01,17.26,64.6
Alabama,2011,35,26.07,16.43,58.3
Alabama,2011,36,17.43,13.03,76.4
Alabama,2011,37,18.78,10.53,61.6
Alabama,2011,38,18.17,14.15,79.0
Alabama,2011,39,14.61,8.08,67.2
Alabama,2011,40,17.67,9.26,61.6
Alabama,2011,41,16.95,9.09,62.8
Alabama,2011,42,10.08,3.86,68.9
Alabama,2011,43,11.03,4.41,67.3
Alabama,2011,44,10.28,2.65,62.4
Alabama,2011,45,11.55,3.93,61.3
Alabama,2011,46,11.14,4.5,66.5
Alabama,2011,47,11.2,7.9,82.0
Alabama,2011,48,5.3,1.09,76.6
Alabama,2011,49,2.04,-2.26,75.1
Alabama,2011,50,5.62,1.47,75.7
Alabama,2011,51,6.75,3.2,79.3
Alabama,2011,52,5.63,0.7,71.9
Alabama,2012,1,2.94,-5.41,56.1
Alabama,2012,2,1.04,-4.1,70.4
Alabama,2012,3,1.9,-2.14,75.4
Alabama,2012,4,4.07,0.37,78.9
Alabama,2012,5,8.64,2.51,68.7
Alabama,2012,6,0.39,-4.95,68.9
Alabama,2012,7,3.43,-1.72,71.3
Alabama,2012,8,5.72,-1.25,63.2
Alabama,2012,9,9.57,1.0,57.8
Alabama,2012,10,8.31,-1.14,55.2
Alabama,2012,11,18.55,13.72,75.5
Alabama,2012,12,19.83,12.58,65.3
Alabama,2012,13,16.57,8.87,62.7
Alabama,2012,14,15.91,7.87,61.7
Alabama,2012,15,12.57,2.16,52.4
Alabama,2012,16,14.46,7.05,64.2
Alabama,2012,17,14.43,6.58,62.3
Alabama,2012,18,22.98,17.78,74.6
Alabama,2012,19,18.7,10.45,62.3
Alabama,2012,20,21.67,11.51,56.8
Alabama,2012,21,24.25,14.62,58.6
Alabama,2012,22,21.79,12.57,59.3
Alabama,2012,23,21.66,11.34,56.2
Alabama,2012,24,24.38,13.97,56.8
Alabama,2012,25,27.28,15.19,50.8
Alabama,2012,26,28.36,13.2,42.1
Alabama,2012,27,30.36,19.62,56.1
Alabama,2012,28,25.91,19.2,70.4
Alabama,2012,29,27.63,20.3,67.2
Alabama,2012,30,28.62,19.32,59.8
Alabama,2012,31,27.21,18.97,65.4
Alabama,2012,32,24.62,16.61,64.3
Alabama,2012,33,22.69,15.21,65.8
Alabama,2012,34,23.92,12.93,54.1
Alabama,2012,35,26.02,18.21,65.7
Alabama,2012,36,23.4,19.51,80.6
Alabama,2012,37,20.17,12.98,65.6
Alabama,2012,38,16.77,10.01,68.2
Alabama,2012,39,17.46,12.75,76.5
Alabama,2012,40,14.09,9.53,76.1
Alabama,2012,41,12.1,5.98,68.1
Alabama,2012,42,13.32,6.91,67.8
Alabama,2012,43,15.45,8.5,65.0
Alabama,2012,44,6.88,-1.26,57.9
Alabama,2012,45,8.89,2.64,67.4
Alabama,2012,46,5.3,-1.04,66.3
Alabama,2012,47,7.68,0.66,62.7
Alabama,2012,48,6.9,0.91,67.1
Alabama,2012,49,11.74,9.19,85.3
Alabama,2012,50,5.21,0.46,73.0
Alabama,2012,51,4.92,0.27,72.8
Alabama,2012,52,0.56,-1.89,84.0
Alabama,2013,1,-0.96,-4.46,77.9
Alabama,2013,2,7.97,4.95,82.1
Alabama,2013,3,1.14,-4.88,66.2
Alabama,2013,4,-3.68,-12.43,52.4
Alabama,2013,5,3.32,-0.89,74.4
Alabama,2013,6,3.43,-1.24,72.8
Alabama,2013,7,3.21,-3.2,64.9
Alabama,2013,8,1.55,-4.88,64.4
Alabama,2013,9,2.1,-2.0,76.0
Alabama,2013,10,4.46,-2.09,65.6
Alabama,2013,11,5.94,0.41,69.8
Alabama,2013,12,2.84,-5.26,59.2
Alabama,2013,13,5.09,-0.36,70.4
Alabama,2013,14,9.42,-2.05,47.1
Alabama,2013,15,16.18,9.36,66.1
Alabama,2013,16,15.07,8.83,68.1
Alabama,2013,17,12.3,5.95,67.8
Alabama,2013,18,17.32,12.13,73.7
Alabama,2013,19,16.34,11.26,74.2
Alabama,2013,20,19.94,12.59,65.1
Alabama,2013,21,19.19,13.46,71.2
Alabama,2013,22,23.33,16.71,68.4
Alabama,2013,23,21.14,15.24,70.5
Alabama,2013,24,23.98,17.84,70.4
Alabama,2013,25,24.68,17.45,66.8
Alabama,2013,26,24.6,19.24,73.9
Alabama,2013,27,21.66,18.89,85.2
Alabama,2013,28,25.27,18.96,69.9
Alabama,2013,29,27.78,21.65,71.4
Alabama,2013,30,22.65,16.06,68.8
Alabama,2013,31,22.61,16.3,70.0
Alabama,2013,32,24.5,19.82,77.1
Alabama,2013,33,21.05,14.37,67.7
Alabama,2013,34,24.55,17.53,68.2
Alabama,2013,35,26.87,20.01,68.5
Alabama,2013,36,23.11,16.03,66.9
Alabama,2013,37,21.82,15.98,72.0
Alabama,2013,38,19.89,14.99,75.1
Alabama,2013,39,18.27,12.81,72.7
Alabama,2013,40,20.71,18.22,86.5
Alabama,2013,41,15.77,9.8,70.1
Alabama,2013,42,12.73,8.28,76.2
Alabama,2013,43,6.98,0.5,65.5
Alabama,2013,44,11.88,7.65,77.2
Alabama,2013,45,9.33,2.4,64.4
Alabama,2013,46,6.77,0.45,67.5
Alabama,2013,47,5.59,-0.17,67.9
Alabama,2013,48,0.52,-5.86,64.4
Alabama,2013,49,4.27,2.0,85.8
Alabama,2013,50,-2.65,-6.47,76.2
Alabama,2013,51,7.47,2.78,73.7
